text,group
heng bought some GEAR. thanks guys,btohqsg
Someone is going to takeover Golden energy   is this true?,btohqsg
Gear want move won't just like tat.. Above 90 can bo??,btohqsg
kn💩.. don't force me🙆🏻 comment $1.10🤣,btohqsg
U always want to win me lah,btohqsg
Yup👍.. rebound🪃 near 61.8% fibo 113,btohqsg
Must thank JA shorted gear 86😂,btohqsg
Nippe should move also de lor,btohqsg
But I q 72 first 😂,btohqsg
Market sentiments led up by  GEAR  Parkson Retail moved suddenly. Pollux stubborn but BBs inside  very patient. I think this round they will not fight against the momentum .Hence  watch Pollux closely anytime.Should be coming.,btohqsg
now can break    cos of GEAR news,btohqsg
if GEAR  takeover  investors only left GEO to buy !!!,btohqsg
Added Pollux $0.044. Lets go. they should be more than ready now,btohqsg
So which one still can keep,btohqsg
See tmr Tues any strong 🐈rebound🪃 STI index components this wk bo?Only look at those uptrend📈 components tat recent retreat.. (avoid those dntrend ones  low gg lower),btohqsg
Calling BBs on the Pollux Express.,btohqsg
Actually Gear announcement not important enough to halt? Hmm...like sneakily announce at noon 😥,btohqsg
Really curious what method she uses to short.I wanna know. So that  I can long when receive short signal. lol.,btohqsg
Later she come again said short 90😂,btohqsg
Someone wants to acquire gear right?,btohqsg
If not we all don't agree,btohqsg
I think more like gear buying over something,btohqsg
knn 🙊.. li jin tanxin..but donnoe why I liked 🤣,btohqsg
The Company wishes to announce that it is in discussions with certain of its shareholders  including Mr.Indra Widjaja  regarding a possible acquisition of the Company.,btohqsg
Bot yzj 115 go down 113 tot die liao 😂,btohqsg
this one flushing only. BBs not friendly. later should expect some short cover too.,btohqsg
Can geo energy be takeover by real investors or not 😂,btohqsg
